day,count
2020-05-28,2
2020-05-29,5
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,1
2020-06-03,
2020-06-04,
2020-06-05,68
2020-06-06,1
2020-06-07,3
2020-06-08,145
2020-06-09,156
2020-06-10,122
2020-06-11,196
2020-06-12,148
2020-06-13,108
2020-06-14,25
2020-06-15,79
2020-06-16,150
2020-06-17,217
2020-06-18,63
2020-06-19,92
2020-06-20,47
2020-06-21,34
2020-06-22,49
2020-06-23,122
2020-06-24,113
2020-06-25,114
2020-06-26,28
2020-06-27,12
2020-06-28,23
2020-06-29,39
2020-06-30,67
2020-07-01,110
2020-07-02,63
2020-07-03,23
2020-07-04,55
2020-07-05,
2020-07-06,6
2020-07-07,2
2020-07-08,3
2020-07-09,1
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,24
2020-07-15,2
2020-07-16,34
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,1
2020-07-23,
2020-07-24,
2020-07-25,2
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,4
2020-07-31,2
2020-08-01,
2020-08-02,
2020-08-03,1
2020-08-04,5
2020-08-05,
2020-08-06,
2020-08-07,7
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,1
2020-08-13,13
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,1
2020-08-19,
2020-08-20,
2020-08-21,7
2020-08-22,1
2020-08-23,
2020-08-24,9
2020-08-25,18
2020-08-26,
2020-08-27,4
2020-08-28,5
2020-08-29,12
2020-08-30,4
2020-08-31,5
2020-09-01,6
2020-09-02,17
2020-09-03,51
2020-09-04,107
2020-09-05,5
2020-09-06,41
2020-09-07,40
2020-09-08,143
2020-09-09,389
2020-09-10,417
2020-09-11,326
2020-09-12,186
2020-09-13,328
2020-09-14,694
2020-09-15,646
2020-09-16,642
2020-09-17,338
2020-09-18,194
2020-09-19,299
2020-09-20,638
2020-09-21,961
2020-09-22,719
2020-09-23,774
2020-09-24,519
2020-09-25,206
2020-09-26,564
2020-09-27,483
2020-09-28,653
2020-09-29,936
2020-09-30,630
2020-10-01,440
2020-10-02,225
2020-10-03,635
2020-10-04,499
2020-10-05,817
2020-10-06,609
2020-10-07,478
2020-10-08,532
2020-10-09,376
2020-10-10,603
2020-10-11,550
2020-10-12,557
2020-10-13,571
2020-10-14,523
2020-10-15,590
2020-10-16,323
2020-10-17,439
2020-10-18,469
2020-10-19,481
2020-10-20,275
2020-10-21,440
2020-10-22,378
2020-10-23,193
2020-10-24,158
2020-10-25,148
2020-10-26,248
2020-10-27,479
2020-10-28,427
2020-10-29,571
2020-10-30,369
2020-10-31,457
2020-11-01,487
2020-11-02,784
2020-11-03,474
2020-11-04,617
2020-11-05,753
2020-11-06,393
2020-11-07,667
2020-11-08,610
2020-11-09,529
2020-11-10,435
2020-11-11,708
2020-11-12,441
2020-11-13,139
2020-11-14,186
2020-11-15,222
2020-11-16,241
2020-11-17,347
2020-11-18,281
2020-11-19,291
2020-11-20,138
2020-11-21,52
2020-11-22,15
2020-11-23,203
2020-11-24,191
2020-11-25,122
2020-11-26,63
2020-11-27,23
2020-11-28,40
2020-11-29,208
2020-11-30,370
2020-12-01,307
2020-12-02,369
2020-12-03,309
2020-12-04,211
2020-12-05,131
2020-12-06,125
2020-12-07,431
2020-12-08,143
2020-12-09,266
2020-12-10,156
2020-12-11,94
2020-12-12,64
2020-12-13,139
2020-12-14,220
2020-12-15,140
2020-12-16,269
2020-12-17,104
2020-12-18,50
2020-12-19,55
2020-12-20,22
2020-12-21,24
2020-12-22,11
2020-12-23,
2020-12-24,9
2020-12-25,2
2020-12-26,2
2020-12-27,6
2020-12-28,8
2020-12-29,15
2020-12-30,78
2020-12-31,2
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,1
2021-01-06,
2021-01-07,2
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,1
2021-01-13,14
2021-01-14,
2021-01-15,3
2021-01-16,
2021-01-17,4
2021-01-18,1
2021-01-19,249
2021-01-20,266
2021-01-21,219
2021-01-22,106
2021-01-23,63
2021-01-24,171
2021-01-25,384
2021-01-26,566
2021-01-27,482
2021-01-28,421
2021-01-29,81
2021-01-30,134
2021-01-31,287
2021-02-01,264
2021-02-02,442
2021-02-03,267
2021-02-04,354
2021-02-05,55
2021-02-06,325
2021-02-07,166
2021-02-08,276
2021-02-09,603
2021-02-10,158
2021-02-11,138
2021-02-12,42
2021-02-13,75
2021-02-14,88
2021-02-15,377
2021-02-16,390
2021-02-17,288
2021-02-18,137
2021-02-19,184
2021-02-20,160
2021-02-21,315
2021-02-22,512
2021-02-23,357
2021-02-24,262
2021-02-25,127
2021-02-26,133
2021-02-27,119
2021-02-28,262
2021-03-01,296
2021-03-02,467
2021-03-03,180
2021-03-04,191
2021-03-05,206
2021-03-06,64
2021-03-07,64
2021-03-08,340
2021-03-09,547
2021-03-10,300
2021-03-11,226
2021-03-12,111
2021-03-13,116
2021-03-14,165
2021-03-15,398
2021-03-16,641
2021-03-17,285
2021-03-18,173
2021-03-19,102
2021-03-20,188
2021-03-21,165
2021-03-22,415
2021-03-23,356
2021-03-24,196
2021-03-25,237
2021-03-26,48
2021-03-27,66
2021-03-28,155
2021-03-29,359
2021-03-30,452
2021-03-31,222
2021-04-01,101
2021-04-02,15
2021-04-03,3
2021-04-04,7
2021-04-05,
2021-04-06,
2021-04-07,11
2021-04-08,
2021-04-09,50
2021-04-10,115
2021-04-11,56
2021-04-12,90
2021-04-13,152
2021-04-14,141
2021-04-15,64
2021-04-16,49
2021-04-17,43
2021-04-18,139
2021-04-19,370
2021-04-20,299
2021-04-21,320
2021-04-22,161
2021-04-23,24
2021-04-24,138
2021-04-25,18
2021-04-26,58
2021-04-27,44
2021-04-28,43
2021-04-29,15
2021-04-30,16
2021-05-01,21
2021-05-02,27
2021-05-03,87
2021-05-04,44
